Episode,Reward,Epsilon,Loss
70,6328.620000000002,0.11858271750211788,420.476127028005
71,10492.660000000009,0.11502523597705434,342.0964088408179
72,8846.560000000012,0.1115744788977427,382.4144508075202
73,3523.8199999999993,0.10822724453081042,278.3040485486359
74,3795.7599999999993,0.10498042719488611,399.37302617576177
75,10979.720000000008,0.10183101437903952,264.90789802068474
76,3649.9900000000016,0.09877608394766833,287.31824264508236
77,10267.22000000002,0.09581280142923829,317.26437502340116
78,10750.090000000011,0.09293841738636113,336.4909129380981
79,11037.500000000015,0.09015026486477029,220.36303467556002
80,10911.520000000004,0.08744575691882718,249.16726302108003
81,10926.749999999989,0.08482238421126237,258.5163333608546
82,11029.090000000002,0.0822777126849245,277.9431389479911
83,3786.1499999999987,0.07980938130437676,271.90965963064457
84,11090.969999999994,0.07741509986524546,251.68851914433614
85,11192.3,0.0750926468692881,207.6370066758695
86,11321.559999999996,0.07283986746320946,234.94837816509974
87,11378.42,0.07065467143931317,231.68334389725493
88,10968.339999999991,0.06853503129613378,254.99545926515705
89,11289.399999999992,0.06647898035724976,209.00976950719294
90,11068.439999999991,0.06448461094653227,289.7093844600363
91,10967.58999999998,0.06255007261813629,216.68648631328549
92,11409.630000000025,0.0606735704395922,303.6465639000034
93,11452.679999999986,0.05885336332640443,276.2110603659675
94,11096.580000000016,0.057087762426612294,246.60087978750542
95,11208.18000000002,0.05537512955381393,307.0176383581487
96,11444.40999999999,0.053713875667199505,334.77474547028044
97,11517.830000000002,0.05210245939718352,285.5925776229909
98,11454.510000000015,0.05053938561526801,319.6256861333347
99,11607.93,0.05,367.81229434859046
100,11419.339999999998,0.05,280.8145426735096
101,11107.300000000003,0.05,287.3354664337228
102,11577.869999999995,0.05,353.24119994761446
103,11540.439999999984,0.05,308.2009395596189
104,11628.599999999995,0.05,273.55333880202954
105,11564.73999999999,0.05,319.7364105610526
106,11585.189999999993,0.05,284.58602987300543
107,11468.120000000019,0.05,254.792362583964
108,11349.410000000016,0.05,221.98121496164035
109,11247.48,0.05,237.6914535477993
